LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
4839,もう保守されない画面遷移図は嫌なので、UI Flow図を簡単にマークダウンぽく書くエディタ作った,"[""Electron"", ""uiflow"", ""JavaScript"", ""Graphviz""]","集できるエディタを作成した。
UI Flows図について
画面遷移図的なものを書く際に、僕が個人的につかっていた表現方法として、UI Flowsというのがある。これはRuby ...",https://qiita.com//hirokidaichi/items/ff54a968bdd7bcc50d42,34,hirokidaichi
4795,2018年の最先端バックエンドエンジニアに必要なスキルについて考えてみました。,"[""キャリア"", ""AWS"", ""gcp""]","になりましたら幸いです。
言語
ロードマップに記載されていた言語のうち、私は一応
Elixir
Scala
Java
.NET (C#とVB.NET)
Python
Ruby ...",https://qiita.com//poly_soft/items/fb649573c19b7a5c0227,18,poly_soft
4226,使えるRSpec入門・その1「RSpecの基本的な構文や便利な機能を理解する」,"[""Ruby"", ""RSpec""]","たけど、RSpecってようわからん」と思っているRSpec経験者の方
Ruby関係のプロジェクトに放り込まれ、「RSpecでテストを書け」と言われて困惑している他のテストフレ ...",https://qiita.com//jnchito/items/42193d066bd61c740612,24,jnchito
4071,GitHubで使われている実用英語コメント集,"[""Git"", ""GitHub"", ""English"", ""Python"", ""AdventCalendar""]","e,in
Use A in B
Bの箇所のAを用いる
Use stub in testing.
use,for
Use A for B
BのためにAを用いる
use Ruby ...",https://qiita.com//shikichee/items/a5f922a3ef3aa58a1839,7,shikichee
4057,Pythonを書き始める前に見るべきTips,"[""Python""]",PIというサイトがあり、こちらに作成したパッケージを公開することでpip installなどでほかの人に広く使ってもらうことが可能になる(JavaにおけるMaven、Ruby ...,https://qiita.com//icoxfog417/items/e8f97a6acad07903b5b0,26,icoxfog417
3941,「AWS is 何」を3行でまとめてみるよ,"[""AWS""]","てEC2スケールするときにdockerから起動できて楽。
AWS Elastic Beanstalk
heroku パクリ ライクにAWS使うためのインターフェイス。Ruby ...",https://qiita.com//kohashi/items/1bb952313fb695f12577,12,kohashi
3937,Vim幼稚園からVim小学校へ,"[""Vim""]",ぐらいしか使えない)。以後の操作は記録され、再度qを押すとレコーディング終了。再生するには、@に続けてそのキーを押す。とりあえず自分はRubyのshebangとGolangの ...,https://qiita.com//hachi8833/items/7beeee825c11f7437f54,21,hachi8833
3861,ウェブカツ運営者が語る！エンジニアで稼ぐために大切な２０のコト,"[""新人プログラマ応援"", ""プログラミング教育"", ""プロジェクト管理"", ""マネジメント""]","ているとhtml・cssが出来る程度で「プログラミングが出来ます！」と言っている人もいます。
稼ぎたいなら、html、CSS、jsなどフロント側言語とphp、ruby、jav ...",https://qiita.com//kazukichi/items/7379b75fba2f90d3cf45,74,kazukichi
3675,ネイティブと働いて分かった英語コミットメッセージの頻出動詞10つ,"[""英語"", ""programming"", ""Git""]"," elaborate reloading connection checking scheme, just fix the Ruby-based MySQL adapter, ...",https://qiita.com//gogotanaka/items/b65e1b081fa976e5d754,13,gogotanaka
3661,[初心者向け] RubyやRailsでリファクタリングに使えそうなイディオムとか便利メソッドとか,"[""Rails"", ""Ruby"", ""初心者""]","はじめに: 遠回りせずに「近道」を探す
RubyやRailsを始めたばかりの人は、もっと短く書く方法や便利な標準ライブラリの存在を知らずに遠回りした書き方をしてしまいがちです ...",https://qiita.com//jnchito/items/dedb3b889ab226933ccf,17,jnchito
3644,モデルやメソッドに名前を付けるときは英語の品詞に気をつけよう,"[""English"", ""Ruby"", ""Rails""]","の基本的な原則をまとめてみます。
また、英文法的に正しい品詞が選べるようになるための習慣についても最後に説明します。
想定する言語/フレームワーク
この記事の説明ではRuby ...",https://qiita.com//jnchito/items/459d58ba652bf4763820,25,jnchito
3594,Markdown記法 サンプル集,"[""Markdown"", ""githubflavoredmarkdown""]","
　~~~ruby
　class Hoge
　  def hoge
　    print 'hoge'
　  end
　end
　~~~
表示例
class Hoge
def ...",https://qiita.com//tbpgr/items/989c6badefff69377da7,5,tbpgr
3390,プログラミング勉強を加速させる7つの習慣,"[""新人プログラマ応援"", ""初心者"", ""勉強"", ""Ruby"", ""Rails""]","グラミングと言っても、学ぶべき技術分野は多岐に渡ります。
Webに話を限定したとしても、
HTML,CSS,JavaScript等のクライアントサイドプログラミング
Ruby ...",https://qiita.com//YudaiTsukamoto/items/42a8df22ca4c6b327dfd,19,YudaiTsukamoto
3366,(下準備編)世界一丁寧なAWS解説。EC2を利用して、RailsアプリをAWSにあげるまで,"[""Ruby"", ""AWS"", ""Rails""]","本記事は2021年版にアップデートされ、下記URLに移転いたしました。
https://zenn.dev/naoki_mochizuki/books/1471ce20222227
",https://qiita.com//naoki_mochizuki/items/f795fe3e661a3349a7ce,5,naoki_mochizuki
3177,初心者歓迎！手と目で覚える正規表現入門・その１「さまざまな形式の電話番号を検索しよう」,"[""Ruby"", ""ATOM"", ""正規表現"", ""JavaScript""]","テクニックをマスターしよう」 - Qiita
動作環境
本記事の正規表現は以下の環境で動作確認しています。
Ruby
JavaScript
Atom
とはいえ、正規表現はそれ ...",https://qiita.com//jnchito/items/893c887fbf19e17d3ff9,9,jnchito
3165,2016年 独りで新規WEBサービスを開発・運用した際の知見,"[""Python"", ""Flask"", ""HTML"", ""SEO"", ""Rails""]",い言語とフレームワークを利用して開発するか、まったく新しい言語とフレームワークにチャレンジするか。ワクワクしますね。迷ったら日本語ドキュメントがたぶん日本で一番豊富なRuby ...,https://qiita.com//haminiku/items/711cbdb894d1d6839e3e,3,haminiku
3029,新人プログラマに正月休み中を使って読んでみてほしい技術書をセレクトしてみた。,"[""技術書""]","。
「コードの匂い」として集められたアンチパターンと安全なコードの修正パターンを対応表としてもたせているので、現代においても非常に実践的な本です。
リファクタリング:Ruby ...",https://qiita.com//hirokidaichi/items/d30714f0698dcff1200f,2,hirokidaichi
2909,新人プログラマに知ってもらいたいメソッドを読みやすく維持するいくつかの原則,"[""Ruby"", ""プログラミング"", ""JavaScript"", ""Perl""]","ので、こういったケースでは使っていく方がよい。
rubyなどif式自体が返値を持っているような場合はそれをつかうのもいいでしょう。
def status(isActive)
 ...",https://qiita.com//hirokidaichi/items/c9a76191216f3cc6c4b2,8,hirokidaichi
2867,2017年のフロントエンドエンジニアならこの程度は知ってて当然だよな？,"[""JavaScript"", ""フロントエンド"", ""エンジニア""]","e Development
Google製。
HTML Polyfill
html5shiv
旧IEなどでHTML5文法が動くようにする。
トランスパイラ
HAML
Ruby ...",https://qiita.com//rana_kualu/items/cad8dbbe5f5a1f1b3ba1,11,rana_kualu
2847,なぜ仮想DOMという概念が俺達の魂を震えさせるのか,"[""VirtualDom"", ""AdventCalendar"", ""JavaScript"", ""React""]","よね。簡単な方がいい。まともに使えるようにするには各種WAFと一体化し、テンプレートエンジンが多く選べるようになったほうが便利なのは間違いありません。
たとえば僕は今Ruby ...",https://qiita.com//mizchi/items/4d25bc26def1719d52e6,,mizchi
2742,レッドコーダーが教える、競プロ・AtCoder上達のガイドライン【初級編：競プロを始めよう】,"[""競技プログラミング"", ""AtCoder"", ""アルゴリズム"", ""数学"", ""新人プログラマ応援""]","まけ：競プロにおける C++ のすすめ
AtCoder では、様々なプログラミング言語で競技を行うことができます。実際に、
C++14
Java
Python
C#
Ruby ...",https://qiita.com//e869120/items/f1c6f98364d1443148b3,13,e869120
2709,4ステップで作成する、DB論理設計の手順とチェックポイントまとめ,"[""oracle"", ""MySQL"", ""SQL"", ""Ruby"", ""PHP""]","はじめに
「達人に学ぶDB設計」、「SQLアンチパターン」を読んだのでDB設計をする流れとその過程でのチェックポイントをまとめてみました。
今回は本に載っているものの中でも特に重要そうな部分に絞...",https://qiita.com//nishina555/items/a79ece1b54faf7240fac,13,nishina555
2693,コーディングをするときに鼻血がでるほど便利なwebツールリスト,"[""tool"", ""Web"", ""coding"", ""正規表現"", ""naming""]","amp;登録不要です。
正規表現
regexper
正規表現を可視化してくれます。
複雑な正規表現を書くときやコードリーディングのお供に重宝します。
Rubular
Ruby ...",https://qiita.com//isuke/items/7fcc5eb0b985005b7b7c,19,isuke
2646,プログラマーの君！ 騙されるな！ シェルスクリプトはそう書いちゃ駄目だ！！ という話,"[""Bash"", ""シェルスクリプト""]","特にインストールスクリプトはポータビリティが大事ですから、環境に依存しにくいシェルスクリプトは理に適っています。
ですが、コマンドを実行するだけならNode.jsでもRuby ...",https://qiita.com//piroor/items/77233173707a0baa6360,18,piroor
2575,npm とか bower とか一体何なんだよ！Javascript 界隈の文脈を理解しよう,"[""JavaScript"", ""Node.js"", ""CommonJS"", ""browserify""]",、ruby なら require、golang なら import。どんな言語でも用意されている、他のファイルを読み込んで使えるようにする機能が、なんと Javascript ...,https://qiita.com//megane42/items/2ab6ffd866c3f2fda066,5,megane42
2449,Javaを使うなら知っておきたい技術、フレームワーク、ライブラリ、ツールまとめ,"[""ツール"", ""ライブラリ"", ""Java""]","を採用しているため、コンパイル無しでもブラウザで表示ができる。
Mustache.java
Java以外にRuby, JavaScript, Python, PHP, Go, ...",https://qiita.com//disc99/items/727b51dbe737602a5c91,17,disc99
2378,動的言語だけやってた僕が、38日間Go言語を書いて学んだこと,"[""Go"", ""PHP"", ""Java""]","のようにGo言語を始めて、どのような手順で学んできたかまとめておきます。
筆者のバックグランド
PHP歴、JavaScript歴10年~
Python 3ヶ月くらい
Ruby ...",https://qiita.com//suin/items/22662f43b6a6e8728798,2,suin
2372,Node.jsとはなにか？なぜみんな使っているのか？,"[""JavaScript"", ""Node.js""]","てPythonやRubyのような一般的なプログラミング言語は通常「パソコン上」で動作します。1
このことが生み出す違いは、OSの機能にアクセスできるかどうかです。
「OSの機 ...",https://qiita.com//non_cal/items/a8fee0b7ad96e67713eb,6,non_cal
2330,もっと気軽にアウトプットできる技術ブログサービス「Qrunch（クランチ）」をリリースした【個人開発】,"[""Webサービス"", ""個人開発"", ""Ruby"", ""Markdown"", ""Rails""]","誰かに迷惑を掛けることもありませんし、ドメインパワーが下がってしまうこともありません。  
技術周りの話
ここからはクランチの技術周りの話です。
クランチの動作環境
Ruby ...",https://qiita.com//terubooon/items/95a561d163d26bbfe274,39,terubooon
2270,Vue.jsを100時間勉強して分かったこと,"[""Vue.js""]","5時間）
です。
学習開始時のレベルは、JavaScript・jQueryはそれなりに扱うことができ、過去に少しだけReactを勉強したことがある感じでした（専門は Ruby ...",https://qiita.com//kskinaba/items/3e8887d45b11f9132012,13,kskinaba
2224,Naming -名前付け-,"[""naming"", "".NET"", ""Java"", ""Ruby"", ""ドメイン駆動設計""]","Naming -名前付け-
プログラミングで最も重要な技術の一つが、名前付けです。
且つ、センスが問われるものなので、上達は難しいものでもあります。
この記事では、様々な文献から抽出した名前付け...",https://qiita.com//Koki_jp/items/f3d3e824f98d182d4100,6,Koki_jp
2175,Git・GitHubに隠された便利な機能 | GitHub Cheat Sheet（日本語訳）,"[""Git"", ""GitHub"", ""gist"", ""翻訳""]", HolmanさんがAloha Ruby Conference 2012 (slides)で発表されたGit and GitHub Secrets と WDCNZ 2013  ...,https://qiita.com//unbabel/items/1cf05f2a2be3d6fb3388,7,unbabel
2082,エンジニア歴20数年の私が、設計書を書く際に心がけていること,"[""仕様書"", ""設計書"", ""新人プログラマ応援"", ""教育""]","ては、担当者間の些細な認識のズレが大問題を引き起こすことが多々あります。
プロジェクト内で用語集を作りましょう。
略語についても用語集に記載するか、または文書冒頭に「Ruby ...",https://qiita.com//y-some/items/90651c1e27f7798f87c6,29,y-some
2078,Webアプリケーションフレームワーク導入時に考慮すべき22の観点,"[""設計"", ""DDD"", ""アーキテクチャ"", ""フレームワーク""]","うのは実に厄介である。テストするたびに毎回違う値が入るため、テストが不安定になりやすいのだ。そこで、よくやるのは テスト時に、現在日時を固定するということだ。
例えばRuby ...",https://qiita.com//tmknom/items/08b69594e32a92bccee5,10,tmknom
2077,ソートを極める！ 〜 なぜソートを学ぶのか 〜,"[""アルゴリズム"", ""競技プログラミング"", ""ソート"", ""数学"", ""新人プログラマ応援""]","ムを勉強するとしばしば耳にすることになります。二分探索ができるためには配列が予めソートされていることが必要なので、そこでソートの出番だというわけです。その辺りの話は
Ruby ...",https://qiita.com//drken/items/44c60118ab3703f7727f,24,drken
2023,1分でも早く仕事を終わらせるためにVSCodeにできること,"[""VSCode"", ""効率化"", ""IDE""]","に非常に重宝します。
サポートされている言語には限りがありますが、執筆時点では...
TypeScript
Python
Go
Ruby
C#
...etc
と10数個の言語 ...",https://qiita.com//EaE/items/4ca1b35396eba682a86f,13,EaE
2011,rails generate migrationコマンドまとめ,"[""Rails"", ""Ruby""]",RailsでDBスキーマ周りをいじろうとすると、たいていrails generate migrationコマンドあたりがでてくるんだけど、なんかいまいちどういう使い方ができるのか、分からなかった...,https://qiita.com//zaru/items/cde2c46b6126867a1a64,1,zaru
1995,意外ととっつきやすいOSS開発参加方法まとめ,"[""新人プログラマ応援"", ""OSS"", ""初心者""]","Ruby開発者のMatz(まつもとゆきひろ)さんが、こう語られています。
今までは、仕事は会社から与えられるもので、面白い仕事が当たればラッキーだけどそうじゃない場合もあった ...",https://qiita.com//shunsuke227ono/items/94dd6e707d34a1da2617,2,shunsuke227ono
1994,脱初心者を目指すVimmerにオススメしたいVimプラグインや.vimrcの設定,"[""Vim"", ""Ruby""]","なVimコマンドには慣れてきたが、.vimrcのカスタマイズにはまだ抵抗がある人
VimでRubyやRailsのコードを書くことが多い人
対象となるVim
僕が使っているのは ...",https://qiita.com//jnchito/items/5141b3b01bced9f7f48f,6,jnchito
1967,ライセンスの選択を恐れる必要はありません,"[""ライセンス"", ""GPL"", ""MIT-License"", ""ApacheLicense""]","なものがあります。
著作権を主張しないつもりなんだったらそれを明示的に宣言して欲しい。ライセンスが明示されていないのは、どんなライセンスよりも厳しいライセンスだ。
(Ruby ...",https://qiita.com//tadsan/items/99d816e78ca429093b75,10,tadsan
1962,Python Webスクレイピング テクニック集「取得できない値は無い」JavaScript対応@追記あり6/12,"[""Python"", ""スクレイピング""]","スクレイピングのテクニックを紹介します。
※お酒飲みながら暇つぶしで書いたので割と適当です。
今回紹介するテクニックを使えれば経験上大体どんな値でも取得でき、これらはRuby ...",https://qiita.com//Azunyan1111/items/b161b998790b1db2ff7a,89,Azunyan1111
1949,Webエンジニア1年目の自分に捧げたい本・記事を超まとめ,"[""技術書"", ""新人プログラマ応援"", ""初心者"", ""まとめ""]","公式ドキュメント
プログラミング（オブジェクト指向）
『オブジェクト指向でなぜつくるのか 第2版』
Webサーバーサイドエンジニアとして働くなら、多くの人はJavaやRuby ...",https://qiita.com//virtual_techX/items/35034d28cdb9255367ba,13,virtual_techX
1950,新人にドヤ顔で説明できるか、今風フロントエンド開発ハンズオン(Git/Node.js/ES6/webpack4/Babel7),"[""JavaScript"", ""Node.js"", ""webpack"", ""babel"", ""es6""]","reで依存モジュールを解決したり、npmで外部パッケージを取り込んで利用したりが簡単にできるようになった。
JavaScriptも他の言語プラットフォーム(JavaやRuby ...",https://qiita.com//riversun/items/29d5264480dd06c7b9fb,9,riversun
1941,Reactで誰もがやりたかった10の機能。アプリ構想はあるけど作れない人の壁をぶっ壊す。,"[""React"", ""redux"", ""material-ui"", ""react-router"", ""SPA""]","か是非教えて下さい。React-v16・react-router-v4・Material-UI-v1など最新のものをわりかし使いました。
自己紹介・今回の趣旨
普段はRuby ...",https://qiita.com//y_kawase/items/8f1b5a303400a09c4923,12,y_kawase
1929,WebSocketについて調べてみた。,"[""websocket""]",cketを利用する場合には通常Non Blocking I/Oを持つサーバーが使われる。WebSocketの文脈で一番有名なのはNode.jsだと思うが、他にも例えばruby ...,https://qiita.com//south37/items/6f92d4268fe676347160,,south37
1918,いまさらだけどCircleCIに入門したので分かりやすくまとめてみた,"[""CircleCI"", ""CI"", ""devops""]","のインストール、コンパイルなどです。
テスト
UTなどのテストコードを実行して動作確認をしたり、Rubocop(Ruby)などのコードスタイルチェックなどを行います。
デプロ ...",https://qiita.com//gold-kou/items/4c7e62434af455e977c2,5,gold-kou
1917,2018年の最先端バックエンドエンジニアになろう,"[""Node.js"", ""PHP"", ""バックエンド""]","別のスクリプト言語ではなく、関数型言語もしくはマルチパラダイム言語から選択することをお勧めします。
例えばPHPやNode.jsを使っているのであれば、PythonやRuby ...",https://qiita.com//rana_kualu/items/19ab559dddbca6674417,2,rana_kualu
1910,【Webエンジニアど素人から３年生ぐらいになるまでに読むと良い本】を段階的にまとめた,"[""新人プログラマ応援"", ""技術書"", ""まとめ"", ""初心者"", ""勉強""]","あり）
ど素人の方々が手を動かしながら１〜６ヶ月以内に学ぼう！
◆どの職種のエンジニアも全員学ぼう！
「プログラムを動作させることができるレベルになろう！」
たのしいRuby ...",https://qiita.com//JunyaShibato/items/3aa5f7f3fc991de17f3f,3,JunyaShibato
1892,気付いたら.gitignoreはgiboで自動生成する時代になっていた,"[""Git"", ""gitignore"", ""gibo""]","an
Eagle           Leiningen       ROS         Yii
Elisp           LemonStand      Ruby ...",https://qiita.com//tmknom/items/c4bcebe17d25381fa45d,1,tmknom
1867,Railsアプリケーションにおけるエラー処理（例外設計）の考え方,"[""Ruby"", ""Rails""]","設計寄りの話を書きます。
言い換えると、
「エラーをどう扱うと自分の味方になってくれるのか」
「どう扱うと泥沼にハマるのか」
そういった基礎的な考え方を説明します。
Ruby ...",https://qiita.com//jnchito/items/3ef95ea144ed15df3637,6,jnchito
1840,null安全でない言語は、もはやレガシー言語だ,"[""Swift"", ""Java"", ""JavaScript"", ""Python"", ""Kotlin""]","sensitive typing
Java
Tour of Ceylon
Ceylon Web IDE
Crystal
Null Pointer Exception
Ruby ...",https://qiita.com//koher/items/e4835bd429b88809ab33,31,koher
1837,エンジニア採用面接での「質問項目」と「意図」を公開する（2021年10月25日更新）,"[""面接"", ""エンジニア"", ""採用""]","、目標は何か、今の戦略と課題は何で、まずどうすべきと考えているか教えて下さい。
意図：どの範囲まで任せられるのか、どこまで考えられるのかを判断
Q. 各技術（ex. ruby ...",https://qiita.com//kamesennin/items/fc8242f7c395b828f650,,kamesennin
1816,中規模Web開発のためのMVC分割とレイヤアーキテクチャ,"[""Rails"", ""mvc""]","TL;DR
MVCもレイヤで捉えて関係性の設計をするといいのでは
普通のRubyオブジェクトを積極的に使いたいですね
「パーフェクト Rails」に期待しましょう
長くなって ...",https://qiita.com//yuku_t/items/961194a5443b618a4cac,,yuku_t
1816,外国人が語る：英語でクラスやメソッド等の名付け方,"[""English"", ""英語"", ""Ruby"", ""Python"", ""オブジェクト指向""]","
極力、引数も含めて、クラス、メソッドや引数を１つの文章として扱うこと
区切りをなくすこと
変数などの長さ・省略する時の落とし穴
1. 英文らしい書き方
筆者は普通にRuby ...",https://qiita.com//gazayas/items/3d352d1b6ec9a225c6f6,17,gazayas
1813,"RubyとRailsにおけるTime, Date, DateTime, TimeWithZoneの違い","[""Ruby"", ""Rails""]","er use of DateTime should be discouraged. - matz (Yukihiro Matsumoto)
https://bugs.ruby ...",https://qiita.com//jnchito/items/cae89ee43c30f5d6fa2c,2,jnchito
1791,【詳解】モテたいVimmer必見　快適にコーディングするためのvimrc解説,"[""Vim"", ""Node.js"", ""JavaScript"", ""HTML"", ""Linux""]","やRubyのdef...endなども%で対応するタグにジャンプすることが出来るようになります。
コマンド補完
.vimrc
set wildmenu "" コマンドモードの補完 ...",https://qiita.com//ahiruman5/items/4f3c845500c172a02935,2,ahiruman5
1786,全国のSeleniumer必読,"[""Selenium"", ""Cucumber"", ""TravisCI"", ""Capybara"", ""Jenkins""]","がたくさんの言語で書けます
私はRubyで書いています
Cucumberと組み合わせてテストを日本語書くこともできます
さらに、Capybaraと組み合わせることもできます
 ...",https://qiita.com//oh_rusty_nail/items/b8ba525d31ea7c522856,17,oh_rusty_nail
1783,Webフロントエンド表示速度、最速化手法まとめ,"[""HTML5"", ""パフォーマンス"", ""JavaScript"", ""CSS""]","を参照。AWS SDK for Ruby を使ってコンテンツを S3 に gzip 圧縮して保存する
JavaScriptの最適化
JavaScriptは重い！というのを常に ...",https://qiita.com//zaru/items/51ee8a5be22b75a42927,1,zaru
1779,知識0から始めるVim講座,"[""Vim"", ""shell"", ""Linux"", ""Vimperator"", ""初心者""]","ましょう。
Vimはターミナルから起動してターミナル上で動きますが、Vimを開いているときはその開いているターミナルのタブは
1つのエディターとして考えてください。
そのためRuby",https://qiita.com//JpnLavender/items/fabcc79b4ab0d52e1f6d,4,JpnLavender
1755,技術的負債とどうやって戦うか,"[""設計"", ""PHP"", ""JavaScript"", ""Ruby""]","プロジェクトが進行するにつれて増える『負債』
長いプロジェクトに携わっていると、技術的負債をいつ返すのかが課題になってきます。
リファクタリングはいつの時点でやるのか、これは長いプロジェクトを運...",https://qiita.com//kamykn/items/ad687e772da454e3f614,,kamykn
1740,【初心者向け】テストコードの方針を考える（何をテストすべきか？どんなテストを書くべきか？）,"[""RSpec"", ""Ruby"", ""テスト"", ""テスト自動化"", ""Rails""]","
基本的にドキュメントは書かない
使用するメインのWebアプリケーションフレームワーク/テスティングフレームワークは、Ruby on RailsとRSpec
前提条件が異なる ...",https://qiita.com//jnchito/items/2a5d3e15761fd413657a,4,jnchito
1733,Next.js 4年目の知見：SSRはもう古い、VercelにAPIサーバを置くな,"[""React"", ""next.js"", ""redux"", ""Vercel""]","げるためにも、そしてWebフロントエンドの幅を広げるためにも、動向をチェックしつつ何かしらの機会で貢献したいものです。
おひたしおひたし。
P.S. Next.jsやRuby ...",https://qiita.com//jagaapple/items/faf125e28f8c2860269c,9,jagaapple
1729,最強の dotfiles 駆動開発と GitHub で管理する運用方法,"[""dotfiles"", ""Vim"", ""Zsh"", ""ShellScript"", ""GitHub""]","インマネージャ Antigen のインストール
シンタックスハイライタ Pygments のインストール
OS X の defaults コマンド群の実行
Ruby の開発環 ...",https://qiita.com//b4b4r07/items/b70178e021bef12cd4a2,8,b4b4r07
1715,【まつもとゆきひろ氏　特別講演】20代エンジニアのためのプログラマー勉強法のまとめ 2019/3/30,"[""Matz"", ""サポーターズ"", ""Ruby"", ""Rails"", ""まつもとゆきひろ""]","。
→故に特に若い時は戦略が必要だし、若いうちが頑張りが効くし成果も出やすい。
Ex)アインシュタインがノーベル賞をとったのは比較的若いうち
Ex)Matzは27歳でRuby ...",https://qiita.com//motoki4917/items/40386dd7fbd70987cc1d,9,motoki4917
1708,開発フロー研修 @ Wantedly,"[""GitHub"", ""wantedly""]","で悩まず、みんなに意見を聞いてみよう。
その他: 宗教論争は出来る限りしない
例えば、rubyのカッコを着けるか着けないか
=> どちらでもいいものは、どちらでもマージ ...",https://qiita.com//awakia/items/c571e93e96a1ec28044f,,awakia
1701,自然言語処理における前処理の種類とその威力,"[""自然言語処理"", ""機械学習"", ""Python""]","」を表します。
たとえば、one-hot表現でpythonという単語を表すとしましょう。ここで、単語の集合であるボキャブラリは(nlp, python, word, ruby ...",https://qiita.com//Hironsan/items/2466fe0f344115aff177,,Hironsan
1691,新人エンジニアの私が圧倒的成長するためにやっていること,"[""新人プログラマ応援"", ""エンジニア""]","際どんな時にペアプロをお願いするの？という疑問が聞こえてくるので、私が体験したペアプロケースを紹介しいたいと思います。
実際にペアプロをお願いしてみた時のお話し
最初Ruby ...",https://qiita.com//_kanacan_/items/d9d99e5bb0248584a6c5,17,_kanacan_
1690,homebrewとは何者か。仕組みについて調べてみた,"[""Mac"", ""homebrew""]","はrubyで書かれています。
bash
$ ruby -e ""$(curl -fsS http://gist.github.com/raw/323731/i ...",https://qiita.com//omega999/items/6f65217b81ad3fffe7e6,10,omega999
1690,ログ設計指針,"[""Java"", ""PHP"", ""log"", ""ShellScript"", ""EC-CUBE""]","
PSR-3
Python Logging Levels
Ruby library logger
出力場所
ログは、運用担当者が、できるだけすぐに見つけられる場所に出力する。 ...",https://qiita.com//nanasess/items/350e59b29cceb2f122b3,2,nanasess
1686,高校生にWeb上でプログラミングを教え始めたエンジニアがこの8ヶ月間で得た気づき,"[""プログラミング"", ""教育"", ""エンジニア"", ""N予備校"", ""N高等学校""]","の学習時間を想定しています。
なお初期の学習にはRubyやPythonといった言語も想定されていましたが、初期学習の言語には、JavaScript、具体的にはES6/ECMA ...",https://qiita.com//sifue/items/7e7c7867b64ce9742aee,9,sifue
